condition,horizon_bars,n,avg_fwd_dd,avg_fwd_vol_ann,var_breach_rate_fwd
corr_z > 1.5,5,50,-0.007789567875187171,0.06040108987616369,0.0
|corr_z| <= 1.5 (baseline),5,191,-0.00961797246177563,0.06410488835752332,0.0
