Strategy,Sharpe,Sharpe_gross,max_dd,max_dd_gross,var_breach_rate,var_breach_cluster_max,mean_turnover,cagr,cagr_gross
Baseline EW,-1.1964,-1.1964,-0.119128,-0.119128,0.01858736059479554,1.0,0.0,-0.048822,-0.048822
Inverse vol (RP proxy),-1.2279,-1.2184,-0.119044,-0.11886,0.01486988847583643,1.0,0.002675,-0.05114,-0.05052
Momentum 50% long,-2.1788,-1.7821,-0.217575,-0.197248,0.022304832713754646,1.0,0.147448,-0.156721,-0.12508
Signals only,-2.2329,-1.4478,-0.186071,-0.151859,0.0037174721189591076,1.0,0.236617,-0.128052,-0.074698
Correlation signal only,-1.2279,-1.2184,-0.119044,-0.11886,0.01486988847583643,1.0,0.002675,-0.05114,-0.05052
Full system,-2.2329,-1.4478,-0.186071,-0.151859,0.0037174721189591076,1.0,0.236617,-0.128052,-0.074698
placebo_random_signals,-3.5181,-1.486,-0.209486,-0.113396,0.0037174721189591076,1.0,0.49205,-0.166398,-0.05633
